team_unique,overall_seed,seed,region,round_started
Connecticut,1,1,EAST,2
Houston,2,1,SOUTH,2
Purdue,3,1,MIDWEST,2
North-Carolina,4,1,WEST,2
Tennessee,5,2,MIDWEST,2
Arizona,6,2,WEST,2
Marquette,7,2,SOUTH,2
Iowa-State,8,2,EAST,2
Baylor,9,3,WEST,2
Creighton,10,3,MIDWEST,2
Kentucky,11,3,SOUTH,2
Illinois,12,3,EAST,2
Duke,13,4,SOUTH,2
Kansas,14,4,MIDWEST,2
Auburn,15,4,EAST,2
Alabama,16,4,WEST,2
Brigham-Young,17,6,EAST,2
San-Diego-State,18,5,EAST,2
Wisconsin,19,5,SOUTH,2
Saint-Marys-CA,20,5,WEST,2
Gonzaga,21,5,MIDWEST,2
Clemson,22,6,WEST,2
Texas-Tech,23,6,SOUTH,2
South-Carolina,24,6,MIDWEST,2
Florida,25,7,SOUTH,2
Washington-State,26,7,EAST,2
Texas,27,7,MIDWEST,2
Dayton,28,7,WEST,2
Nebraska,29,8,SOUTH,2
Utah-State,30,8,MIDWEST,2
Florida-Atlantic,31,8,EAST,2
Mississippi-State,32,8,WEST,2
Michigan-State,33,9,WEST,2
Texas-AM,34,9,SOUTH,2
Texas-Christian,35,9,MIDWEST,2
Northwestern,36,9,EAST,2
Nevada,37,10,WEST,2
Boise-State,38,10,SOUTH,1
Colorado,39,10,SOUTH,1
Drake,40,10,EAST,2
Virginia,41,10,MIDWEST,1
New-Mexico,42,11,WEST,2
Oregon,43,11,MIDWEST,2
Colorado-State,44,10,MIDWEST,1
North-Carolina-State,45,11,SOUTH,2
Duquesne,46,11,EAST,2
Grand-Canyon,47,12,WEST,2
James-Madison,48,12,SOUTH,2
McNeese-State,49,12,MIDWEST,2
Alabama-Birmingham,50,12,EAST,2
Vermont,51,13,SOUTH,2
Yale,52,13,EAST,2
Samford,53,13,MIDWEST,2
College-of-Charleston,54,13,WEST,2
Oakland,55,14,SOUTH,2
Akron,56,14,MIDWEST,2
Morehead-State,57,14,EAST,2
Colgate,58,14,WEST,2
Long-Beach-State,59,15,WEST,2
Western-Kentucky,60,15,SOUTH,2
South-Dakota-State,61,15,EAST,2
Saint-Peters,62,15,MIDWEST,2
Longwood,63,16,SOUTH,2
Stetson,64,16,EAST,2
Montana-State,65,16,MIDWEST,1
Grambling,66,16,MIDWEST,1
Howard,67,16,WEST,1
Wagner,68,16,WEST,1